"nome","sku","departamento","categoria","img","valor","desconto","dt_hora"
"FEIJÃO BRANCO CAMIL 500G",154,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/0326fbf8-aa28-4794-ba4e-a24e8f0780ac.jpg",8.09,0,"1654631104.178068"
"ARROZ COZINHA & SABOR TIO JOÃO CARRETEIRO 175G",155,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/5_1.jpg",8.69,7,"1654631111.29585"
"ARROZ COZINHA & SABOR TIO JOÃO COM GALINHA 175G",156,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/galinha.jpg",8.69,5,"1654631112.445397"
"ARROZ COZINHA & SABOR TIO JOÃO RISOTO À VALLIGIANA 175G",157,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/tiojoao3.jpg",8.69,6,"1654631113.526319"
"ARROZ COZINHA FÁCIL TIO JOÃO À GREGA 250G",158,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/grega.jpg",7.69,8,"1654631114.675013"
"ARROZ COZINHA FÁCIL TIO JOÃO COM ERVAS FINAS 250G",159,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/tiojoaoarrozervasfinas2654.jpg",7.69,0,"1654631115.98991"
"ARROZ POLIDO LONGO FINO TIPO 1 TIO JOÃO 1KG",160,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/tiojoao1kg.jpg",6.29,0,"1654631123.382947"
"ARROZ POLIDO LONGO FINO TIPO 1 TIO JOÃO 5KG",161,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/tiojoao.jpg",25.99,1,"1654631126.727205"
"ARROZ PARBOILIZADO INTEGRAL TIO JOÃO COM 8 SAQUINHOS 1KG",162,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/integral_xsA1Gts.jpg",7.59,14,"1654631127.81143"
"ARROZ PARBOILIZADO INTEGRAL TIPO 1 TIO JOÃO 1KG",163,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/5_WRJ2vOM.jpg",6.89,18,"1654631128.877855"
